ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (July 2025)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).

Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
,Daily Max,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5
2025-07-05,01,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
,02,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
,03,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3
,04,3,3,3,2,2,2,2,3,2,3,3,2,3,2,3,3,3,3
,05,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,10,3,3,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4
,12,4,4,4,4,4*,4,4,4,4,4,4,4,4,5,4,4,4,5
,13,5,5,4,4,5*,5,5,5,6,6,5,5,5,5,5,5,5,5
,14,6,5,5,5,5*,6,7,5,7,7,7,5,6,6,5,5,5,6
,15,6,6,5,5,6*,7,8,5,7,6,9,5,6,5,5,6,5,7
,16,6,6,5,5,6*,7,8,5,7,6,10,5,5,5,5,6,5,8
,17,5,5,4,4,6*,6,7,4,7,6,9,4,4,5,4,5,5,6
,18,4,4,4,3,3,5,5,3,6,6,7,4,4,4,3,4,4,5
,19,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3
,20,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,21,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,3
,22,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3
,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Daily Max,6,6,5,5,6,7,8,5,7,7,10,5,6,6,5,6,5,8
