ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (June 2025)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).

Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
,12,2,2,3,2,3,3,2,3,2,2,3,3*,2,2,-*,3,2,3
,13,2,2,3,3,3*,3,3,3,2,3,3,3*,3,3,-*,3,2,3*
,14,3,3,3,3,3*,3,3,3,2,3,3,3*,3,3,-*,3,2,3*
,15,3,3,3,3,3*,3,3,3,3,3,3,3*,3,3*,-*,3,3,3*
,16,3,3,3,3,3*,3,3,3,3,3,3,3*,3,3*,-*,3,3,3*
,17,3,3,3,3,3,3,3,3,3,3,3,3*,3,3,-*,3,3,3
,18,3,3,3,3,3,3,3,3,3,3,3,3*,3,3,-*,3,2,3
,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,21,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
,22,2,3,3,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3
,23,2,2,3,2,2,3,2,3,2,3,3,3,2,3,2,3,2,3
,24,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3
,Daily Max,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2025-06-03,01,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2
,02,2,3,2,2,2,2,2,3,2,2,2,2,2,2,1,2,3,2
,03,2,3,2,2,2,2,2,3,2,2,2,2,2,2,1,2,4,2
,04,2,4,2,2,2,2,2,2,2,2,3,2,2,2,1,2,4,2
,05,2,3,2,2,2,2,2,2,2,2,2,2,2*,2,1,2,4,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2*,2,1,2,4,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2*,2,1,2,3,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2*,2,2,3,2,2
,10,2,2,2,2,2,2,2,2,2,2,2,3,2*,2,2,3,3,3
,11,2,2*,2,3,2,2,2,2,2,2,3,3,3*,2,2,3,3,3
,12,3*,2*,3*,3,2,3,2,3,2,3,3,3,3*,2,2,3,3*,3
,13,3*,3*,3*,3,3,3,2,4*,2,3,3,3,3*,3,3,3,3*,3
,14,3*,3,3*,3,3*,3*,3,4,3,3,3,3,3,3,3,4,3*,3
,15,3*,3,4,4,4*,4*,3,4,3,3,4,4,4,4,4,4,4*,4
,16,4*,4,4,4,5*,4*,4,4,4,4,4,4,4,4,3,4,4,4
,17,4*,4,4,4,4,4,4,4,5,5,5,5,4,5,3,5,4,5
,18,5*,4,4,4*,5,5,5,4,5,5,6,5,5,5,3,5,5,5
,19,5,4,5,5*,5,5,5,4,5,5,6,5,5,5,3,6,5,5
,20,5,4,5,5,5,5,5,4,4,5,5,5,4,4,3,6,5,6
,21,5,4,4,5,5,5,4,4,4,4,4,4,4,4,3,5,5,5
,22,4,4,4,5,4,4,4,3,3,4,4,3,3,3,3,5,4,5
,23,4,3,4,4,3,3,3,3,3,4,4,3,3,3,3,4,4,4
,24,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,4,4,3
,Daily Max,5,4,5,5,5,5,5,4,5,5,6,5,5,5,4,6,5,6
2025-06-04,01,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,3
,02,3,2,3,3,3,2,2,3,2,3,3*,3,3,3,2,3,4,3
,03,2,2,3,3,2,2,2,3,2,3,2*,3,2,2,2,3,4*,3
,04,3,2,3,2,2,2,2,3,2,3,3,3,2,2,2,2,4,2
,05,3,3,3,2,3,2,2,3,2,2,3,2,2,2,2,2,4,3
